Full Name,Birth Date (YYYY-MM-DD),Birth City,Birth State/Province (if applicable),Birth Country,Primary Profession,Primary Research Area,Major Contribution
Grace Lovelace 1,1987-02-08,Kyoto,,Japan,Artificial General Intelligence Researcher,Large Language Models & Generative Artificial Intelligence,Pioneering Transformer Models and Generative AI Paradigms
Grace Furukawa 2,1913-01-28,San Francisco,California,United States,Software Engineering Leader,"Game Design Methodology, Simulation & Interactive Storytelling",Creating Iconic Open-World Video Games and Strategy Mechanics
Tim Gates 3,1931-12-08,Zurich,,Switzerland,Software Engineering Leader,Large Language Models & Generative Artificial Intelligence,Creating Iconic Open-World Video Games and Strategy Mechanics
Dennis Stroustrup 4,1966-11-08,Shenzhen,,China,Open Source Software Pioneer,Deep Learning Architectures & Neural Network Optimization,Pioneering Transformer Models and Generative AI Paradigms
Linus Hinton 5,1936-12-01,Tokyo,,Japan,Cloud Computing Architect,"Game Design Methodology, Simulation & Interactive Storytelling",Creating Iconic Open-World Video Games and Strategy Mechanics
Roberta Wozniak 6,1993-02-21,Zurich,,Switzerland,Video Game Designer,Large Language Models & Generative Artificial Intelligence,Developing Industry-Standard Game Engines and Physics Simulations
Dennis Hinton 7,1916-06-25,Shenzhen,,China,Artificial Intelligence Researcher,Reinforcement Learning & Autonomous Decision Systems,Revolutionizing Real-Time Ray Tracing and GPU Computing Architectures
Andrew Zuckerberg 8,1909-01-22,Palo Alto,California,United States,Deep Learning Scientist,"Distributed Systems, Operating Systems & Cloud Architecture",Creating Iconic Open-World Video Games and Strategy Mechanics
Steve Wright 9,1988-12-14,Beijing,,China,Video Game Designer,Real-Time 3D Graphics & Game Engine Development,Foundational Contributions to Open-Source Operating Systems and Compilers
Tim Berners-Lee 10,1900-04-20,Austin,Texas,United States,Game Engine Architect,Deep Learning Architectures & Neural Network Optimization,Advancing Reinforcement Learning for Complex Strategic Decision Making
Mark Berners-Lee 11,1949-08-09,Shenzhen,,China,Game Engine Architect,"Distributed Systems, Operating Systems & Cloud Architecture",Advancing Reinforcement Learning for Complex Strategic Decision Making
Ken Carmack 12,1967-04-07,Austin,Texas,United States,Interactive Entertainment Innovator,Large Language Models & Generative Artificial Intelligence,Foundational Contributions to Open-Source Operating Systems and Compilers
Ada Pichai 13,1942-09-12,Tokyo,,Japan,Open Source Software Pioneer,Large Language Models & Generative Artificial Intelligence,Creating Iconic Open-World Video Games and Strategy Mechanics
Linus Altman 14,1975-12-03,Austin,Texas,United States,Artificial Intelligence Researcher,Real-Time 3D Graphics & Game Engine Development,Foundational Contributions to Open-Source Operating Systems and Compilers
Ada Nadella 15,1994-04-01,Palo Alto,California,United States,Cloud Computing Architect,Deep Learning Architectures & Neural Network Optimization,Pioneering Transformer Models and Generative AI Paradigms
Hideo Nadella 16,1922-04-18,Sydney,New South Wales,Australia,Artificial General Intelligence Researcher,Deep Learning Architectures & Neural Network Optimization,Developing Industry-Standard Game Engines and Physics Simulations
Guido Laurel 17,1918-07-23,Berlin,,Germany,Cloud Computing Architect,"Distributed Systems, Operating Systems & Cloud Architecture",Foundational Contributions to Open-Source Operating Systems and Compilers
Larry Pichai 18,1937-01-10,Cambridge,Massachusetts,United States,Artificial Intelligence Researcher,Real-Time 3D Graphics & Game Engine Development,Foundational Contributions to Open-Source Operating Systems and Compilers
Mark Pichai 19,1911-07-25,Bangalore,Karnataka,India,Interactive Entertainment Innovator,Deep Learning Architectures & Neural Network Optimization,Pioneering Transformer Models and Generative AI Paradigms
Brendan Carmack 20,1988-06-02,Cambridge,Massachusetts,United States,Artificial General Intelligence Researcher,Reinforcement Learning & Autonomous Decision Systems,Foundational Contributions to Open-Source Operating Systems and Compilers
Will Hassabis 21,1979-03-20,Vancouver,British Columbia,Canada,Interactive Entertainment Innovator,Reinforcement Learning & Autonomous Decision Systems,Developing Industry-Standard Game Engines and Physics Simulations
Tim Wozniak 22,1968-11-11,Seoul,,South Korea,Game Engine Architect,Large Language Models & Generative Artificial Intelligence,Advancing Reinforcement Learning for Complex Strategic Decision Making
Ali Ng 23,1973-12-01,Stockholm,,Sweden,Video Game Designer,Deep Learning Architectures & Neural Network Optimization,Developing Industry-Standard Game Engines and Physics Simulations
Yann Nadella 24,1992-04-03,Seattle,Washington,United States,Game Engine Architect,Reinforcement Learning & Autonomous Decision Systems,Pioneering Transformer Models and Generative AI Paradigms
Sid Van Rossum 25,1965-09-28,Vancouver,British Columbia,Canada,Game Engine Architect,Large Language Models & Generative Artificial Intelligence,Advancing Reinforcement Learning for Complex Strategic Decision Making
Sergey Hassabis 26,1913-07-22,Seoul,,South Korea,Software Engineering Leader,Reinforcement Learning & Autonomous Decision Systems,Creating Iconic Open-World Video Games and Strategy Mechanics
Javier Page 27,1983-10-21,Vancouver,British Columbia,Canada,Video Game Designer,"Distributed Systems, Operating Systems & Cloud Architecture",Pioneering Transformer Models and Generative AI Paradigms
Sergey Kojima 28,1980-02-10,Austin,Texas,United States,Open Source Software Pioneer,Large Language Models & Generative Artificial Intelligence,Developing Industry-Standard Game Engines and Physics Simulations
Tim Ritchie 29,1965-10-05,Berlin,,Germany,Systems Software Architect,Reinforcement Learning & Autonomous Decision Systems,Advancing Reinforcement Learning for Complex Strategic Decision Making
Sundar Van Rossum 30,1941-10-27,Tokyo,,Japan,Neural Network Researcher,Real-Time 3D Graphics & Game Engine Development,Pioneering Transformer Models and Generative AI Paradigms
