Full Name,Birth Date (YYYY-MM-DD),Birth City,Birth State/Province (if applicable),Birth Country,Primary Profession,Primary Research Area,Major Contribution
Arthur Ellis 1,1972-02-28,Toronto,Ontario,Canada,Transport & Export Executive,Customer Acquisition & High-Volume Sales Leadership,High-Performance B2B Sales Methodologies and Key Account Management
Ignacio Ingram 2,1948-06-03,Sydney,New South Wales,Australia,Commercial Sales Director,Customer Acquisition & High-Volume Sales Leadership,Multimodal Freight Interconnectivity and Port Logistics
Monica Harris 3,1917-06-20,Chicago,Illinois,United States,Global Freight Expert,B2B Commercial Sales Strategy & Distribution Networks,Containerized Freight Standardization and Global Trade Expansion
Paula Evans 4,1913-12-21,Dubai,,United Arab Emirates,Transportation Economist,B2B Commercial Sales Strategy & Distribution Networks,Dynamic Route Optimization for Express Parcel Delivery
Xavier Vance 5,1905-12-18,Seattle,Washington,United States,Ride-Hailing Innovator,Global Supply Chain Optimization & Export Logistics,On-Demand Dispatch Algorithms and Urban Cab Service Scaling
Kenji Vaughan 6,1901-11-18,Panama City,,Panama,Supply Chain Researcher,B2B Commercial Sales Strategy & Distribution Networks,Enterprise Sales Force Automation and Channel Distribution Models
Ignacio White 7,1909-11-12,Panama City,,Panama,Transport & Export Executive,Urban Mobility & Ride-Hailing Network Economics,Dynamic Route Optimization for Express Parcel Delivery
Fiona Tanaka 8,1952-01-07,Hamburg,,Germany,Transportation Economist,B2B Commercial Sales Strategy & Distribution Networks,Multimodal Freight Interconnectivity and Port Logistics
Zachary Vaughan 9,1943-05-28,Panama City,,Panama,Transportation Economist,Freight Forwarding & Maritime Transport Management,Enterprise Sales Force Automation and Channel Distribution Models
Zoe Larson 10,1952-05-23,Chicago,Illinois,United States,Commercial Sales Director,Global Supply Chain Optimization & Export Logistics,Multimodal Freight Interconnectivity and Port Logistics
Patrick Young 11,1971-01-18,Rotterdam,,Netherlands,Sales Leadership Pioneer,B2B Commercial Sales Strategy & Distribution Networks,Multimodal Freight Interconnectivity and Port Logistics
Yvonne King 12,1933-12-19,Singapore,,Singapore,Delivery Network Strategist,Last-Mile Delivery Innovation & Autonomous Transit,Dynamic Route Optimization for Express Parcel Delivery
Thomas Lewis 13,1912-05-02,Chicago,Illinois,United States,Sales Leadership Pioneer,Urban Mobility & Ride-Hailing Network Economics,Enterprise Sales Force Automation and Channel Distribution Models
Patrick Patel 14,1902-03-20,Los Angeles,California,United States,Transport & Export Executive,Urban Mobility & Ride-Hailing Network Economics,High-Performance B2B Sales Methodologies and Key Account Management
Quentin Zimmermann 15,1916-06-14,Rotterdam,,Netherlands,Last-Mile Delivery Specialist,Freight Forwarding & Maritime Transport Management,Containerized Freight Standardization and Global Trade Expansion
Zachary Vance 16,1925-06-19,Tokyo,,Japan,Last-Mile Delivery Specialist,B2B Commercial Sales Strategy & Distribution Networks,Enterprise Sales Force Automation and Channel Distribution Models
Zachary Black 17,1909-07-11,Montreal,Quebec,Canada,Last-Mile Delivery Specialist,Freight Forwarding & Maritime Transport Management,On-Demand Dispatch Algorithms and Urban Cab Service Scaling
Teresa Cole 18,1904-11-26,London,,United Kingdom,Sales Leadership Pioneer,Customer Acquisition & High-Volume Sales Leadership,Containerized Freight Standardization and Global Trade Expansion
Martin Vance 19,1921-01-17,Los Angeles,California,United States,Delivery Network Strategist,Customer Acquisition & High-Volume Sales Leadership,Dynamic Route Optimization for Express Parcel Delivery
Bernard Foster 20,1943-07-16,Paris,,France,Supply Chain Researcher,Last-Mile Delivery Innovation & Autonomous Transit,Containerized Freight Standardization and Global Trade Expansion
Stanley Jensen 21,1937-11-21,Sydney,New South Wales,Australia,Commercial Sales Director,Last-Mile Delivery Innovation & Autonomous Transit,On-Demand Dispatch Algorithms and Urban Cab Service Scaling
Teresa Fisher 22,1960-05-16,Panama City,,Panama,Cab Service Founder,B2B Commercial Sales Strategy & Distribution Networks,Enterprise Sales Force Automation and Channel Distribution Models
Diana Miller 23,1951-04-18,Singapore,,Singapore,Global Freight Expert,B2B Commercial Sales Strategy & Distribution Networks,Dynamic Route Optimization for Express Parcel Delivery
Walter Foster 24,1964-07-28,Los Angeles,California,United States,Logistics Pioneer,Global Supply Chain Optimization & Export Logistics,On-Demand Dispatch Algorithms and Urban Cab Service Scaling
Karl Turner 25,1976-12-04,Seattle,Washington,United States,Export Trade Strategist,Customer Acquisition & High-Volume Sales Leadership,Multimodal Freight Interconnectivity and Port Logistics
Fiona Phillips 26,1915-08-27,Paris,,France,Last-Mile Delivery Specialist,Customer Acquisition & High-Volume Sales Leadership,On-Demand Dispatch Algorithms and Urban Cab Service Scaling
Irene Nelson 27,1950-02-03,Seattle,Washington,United States,Global Freight Expert,Last-Mile Delivery Innovation & Autonomous Transit,Containerized Freight Standardization and Global Trade Expansion
Norman Nelson 28,1919-11-21,Singapore,,Singapore,Sales Leadership Pioneer,B2B Commercial Sales Strategy & Distribution Networks,Multimodal Freight Interconnectivity and Port Logistics
Richard Evans 29,1980-12-15,New York City,New York,United States,Ride-Hailing Innovator,Global Supply Chain Optimization & Export Logistics,Dynamic Route Optimization for Express Parcel Delivery
Harold Vance 30,1935-08-27,Chicago,Illinois,United States,Sales Leadership Pioneer,Customer Acquisition & High-Volume Sales Leadership,Multimodal Freight Interconnectivity and Port Logistics
Grace Walker 31,1915-03-21,Antwerp,,Belgium,Transport & Export Executive,Last-Mile Delivery Innovation & Autonomous Transit,Containerized Freight Standardization and Global Trade Expansion
Clara Ellis 32,1973-01-12,Zurich,,Switzerland,Ride-Hailing Innovator,Freight Forwarding & Maritime Transport Management,On-Demand Dispatch Algorithms and Urban Cab Service Scaling
Alice Owens 33,1948-11-10,San Francisco,California,United States,Transport & Export Executive,Urban Mobility & Ride-Hailing Network Economics,Multimodal Freight Interconnectivity and Port Logistics
Nora Klein 34,1931-02-28,Seattle,Washington,United States,Transport & Export Executive,Freight Forwarding & Maritime Transport Management,High-Performance B2B Sales Methodologies and Key Account Management
Charles Phillips 35,1958-01-10,Hong Kong,,China,Sales Leadership Pioneer,Customer Acquisition & High-Volume Sales Leadership,Multimodal Freight Interconnectivity and Port Logistics
Quentin Patel 36,1944-06-06,Paris,,France,Logistics Pioneer,Last-Mile Delivery Innovation & Autonomous Transit,Containerized Freight Standardization and Global Trade Expansion
Karl Aoki 37,1970-03-25,Shanghai,,China,Commercial Sales Director,Global Supply Chain Optimization & Export Logistics,On-Demand Dispatch Algorithms and Urban Cab Service Scaling
David Aoki 38,1927-01-10,Zurich,,Switzerland,Cab Service Founder,Customer Acquisition & High-Volume Sales Leadership,On-Demand Dispatch Algorithms and Urban Cab Service Scaling
Hannah Sutton 39,1915-01-11,San Francisco,California,United States,Cab Service Founder,Customer Acquisition & High-Volume Sales Leadership,On-Demand Dispatch Algorithms and Urban Cab Service Scaling
Zoe Quinn 40,1971-12-17,Zurich,,Switzerland,Transport & Export Executive,B2B Commercial Sales Strategy & Distribution Networks,Enterprise Sales Force Automation and Channel Distribution Models
Arthur Harris 41,1903-11-22,Zurich,,Switzerland,Global Freight Expert,Last-Mile Delivery Innovation & Autonomous Transit,Enterprise Sales Force Automation and Channel Distribution Models
Oscar Davies 42,1977-12-27,Chicago,Illinois,United States,Transport & Export Executive,Customer Acquisition & High-Volume Sales Leadership,Containerized Freight Standardization and Global Trade Expansion
Zoe Quinn 43,1958-08-21,Dubai,,United Arab Emirates,Ride-Hailing Innovator,B2B Commercial Sales Strategy & Distribution Networks,Dynamic Route Optimization for Express Parcel Delivery
Yuri Garcia 44,1935-03-08,Toronto,Ontario,Canada,Sales Leadership Pioneer,Last-Mile Delivery Innovation & Autonomous Transit,Containerized Freight Standardization and Global Trade Expansion
David Larson 45,1948-06-07,Shanghai,,China,Sales Leadership Pioneer,Urban Mobility & Ride-Hailing Network Economics,On-Demand Dispatch Algorithms and Urban Cab Service Scaling
Valerie Evans 46,1941-02-03,Chicago,Illinois,United States,Delivery Network Strategist,Global Supply Chain Optimization & Export Logistics,Enterprise Sales Force Automation and Channel Distribution Models
Alice Garcia 47,1943-09-15,Antwerp,,Belgium,Last-Mile Delivery Specialist,B2B Commercial Sales Strategy & Distribution Networks,Containerized Freight Standardization and Global Trade Expansion
Zoe Tanaka 48,1929-05-26,London,,United Kingdom,Delivery Network Strategist,Customer Acquisition & High-Volume Sales Leadership,Multimodal Freight Interconnectivity and Port Logistics
Evelyn Turner 49,1950-06-09,Sydney,New South Wales,Australia,Cab Service Founder,B2B Commercial Sales Strategy & Distribution Networks,Multimodal Freight Interconnectivity and Port Logistics
Paula Vance 50,1916-05-28,Seattle,Washington,United States,Ride-Hailing Innovator,Urban Mobility & Ride-Hailing Network Economics,Enterprise Sales Force Automation and Channel Distribution Models
Bernard Vaughan 51,1974-05-24,Panama City,,Panama,Logistics Pioneer,B2B Commercial Sales Strategy & Distribution Networks,On-Demand Dispatch Algorithms and Urban Cab Service Scaling
Brenda Davies 52,1934-07-28,Antwerp,,Belgium,Export Trade Strategist,Last-Mile Delivery Innovation & Autonomous Transit,Enterprise Sales Force Automation and Channel Distribution Models
Paula Phillips 53,1946-07-10,New York City,New York,United States,Export Trade Strategist,Global Supply Chain Optimization & Export Logistics,Dynamic Route Optimization for Express Parcel Delivery
Clara Jensen 54,1949-08-11,Toronto,Ontario,Canada,Supply Chain Researcher,Last-Mile Delivery Innovation & Autonomous Transit,Multimodal Freight Interconnectivity and Port Logistics
David Russell 55,1981-06-10,Hamburg,,Germany,Ride-Hailing Innovator,B2B Commercial Sales Strategy & Distribution Networks,High-Performance B2B Sales Methodologies and Key Account Management
Yuri Klein 56,1930-10-01,Hamburg,,Germany,Delivery Network Strategist,Customer Acquisition & High-Volume Sales Leadership,Dynamic Route Optimization for Express Parcel Delivery
Ignacio White 57,1980-03-09,Rotterdam,,Netherlands,Global Freight Expert,Urban Mobility & Ride-Hailing Network Economics,Containerized Freight Standardization and Global Trade Expansion
